Lake,Date,Temp_C,Wind_ms,Salinity_ppt
K,17-07-2001,20,4.06,0
K,17-07-2009,17.2,4.06,0
K,17-07-2014,20.8,4.06,0
K,17-08-1994,20,4.06,0
K,17-08-2005,18.4,4.06,0
K,17-09-2008,16.6,4.06,0
K,17-11-2006,2.4,4.06,0
K,18-05-2007,11.5,4.06,0
K,18-05-2012,9.9,4.06,0
K,18-06-1997,18,4.06,0
K,18-06-2001,16.5,4.06,0
K,18-06-2010,15.6,4.06,0
K,18-07-2008,20.3,4.06,0
K,18-08-1997,18,4.06,0
K,19-06-2009,17.8,4.06,0
K,19-10-2006,8.9,4.06,0
K,20-05-2011,10.4,4.06,0
K,20-06-2008,16.2,4.06,0
K,20-06-2014,14.4,4.06,0
K,20-07-2004,22.7999992371,4.06,0
K,20-07-2005,20.3,4.06,0
K,21-05-1998,15,4.06,0
K,21-05-2010,13.8,4.06,0
K,21-07-1997,24,4.06,0
K,21-09-2006,15.6,4.06,0
K,22-05-1997,8.5,4.06,0
K,22-05-2001,,4.06,0
K,22-05-2009,6.2,4.06,0
K,22-06-1999,19,4.06,0
K,22-06-2005,20.1,4.06,0
K,22-07-1998,19,4.06,0
K,22-10-2007,10.7,4.06,0
K,23-05-2003,12.3,4.06,0
K,23-05-2008,8.8,4.06,0
K,23-05-2014,8.7,4.06,0
K,23-06-2003,19,4.06,0
K,23-08-1996,19,4.06,0
K,23-08-1999,21,4.06,0
K,23-08-2002,19.3,4.06,0
K,23-08-2006,20.7,4.06,0
K,23-08-2007,18,4.06,0
K,23-08-2013,21.2,4.06,0
K,24-01-2007,0.2,4.06,0
K,24-05-1999,12,4.06,0
K,24-05-2002,8,4.06,0
K,24-06-1994,20,4.06,0
K,24-07-1995,21,4.06,0
K,24-07-2002,23,4.06,0
K,24-08-2012,21.7,4.06,0
K,24-09-2007,14.6,4.06,0
K,25-06-2002,20,4.06,0
K,25-06-2004,13.5,4.06,0
K,25-07-1999,20,4.06,0
K,25-08-2003,21.4,4.06,0
K,25-08-2004,16.3999996185,4.06,0
K,26-05-2005,9.5,4.06,0
K,26-07-1994,20,4.06,0
K,26-07-1996,21,4.06,0
K,26-07-2000,23,4.06,0
K,26-07-2006,23.6,4.06,0
K,26-07-2013,20.1,4.06,0
K,26-08-2001,20.5,4.06,0
K,26-08-2011,20.8,4.06,0
K,27-07-2007,24.4,4.06,0
K,27-07-2012,22.9,4.06,0
K,27-08-2010,19.5,4.06,0
K,28-06-1996,15,4.06,0
K,28-06-2000,16.5,4.06,0
K,28-06-2001,17.5,4.06,0
K,28-06-2006,21,4.06,0
K,28-06-2013,19.3,4.06,0
K,28-08-1995,17.5,4.06,0
K,28-08-2009,18.7,4.06,0
K,29-05-2000,13,4.06,0
K,29-06-2007,16.6,4.06,0
K,29-06-2012,18.3,4.06,0
K,29-07-2011,21.8,4.06,0
K,29-08-1997,,4.06,0
K,29-08-2000,18.5,4.06,0
K,29-08-2008,18.9,4.06,0
K,30-06-1995,18,4.06,0
K,30-06-2011,19,4.06,0
K,30-07-2010,22.3,4.06,0
K,31-05-1995,15,4.06,0
K,31-05-1996,11,4.06,0
K,31-07-2001,20.8,4.06,0
K,31-07-2009,18.6,4.06,0
K,31-10-2008,7.8,4.06,0
L,01-07-2008,18.2,4.06,0
L,02-07-2003,19.6,4.06,0
L,02-08-1997,21,4.06,0
L,02-08-2000,21.5,4.06,0
L,02-08-2013,19.6,4.06,0
L,02-09-2011,19.4,4.06,0
L,03-06-1996,11.5,4.06,0
L,03-08-2007,22.3,4.06,0
L,03-08-2012,22.3,4.06,0
L,03-09-2010,18,4.06,0
L,04-06-1997,21.5,4.06,0
L,04-07-1995,17,4.06,0
L,04-07-1997,,4.06,0
L,04-08-2006,21.2,4.06,0
L,04-09-2009,19,4.06,0
L,05-06-1995,16.5,4.06,0
L,05-07-2000,19,4.06,0
L,05-07-2004,16.2999992371,4.06,0
L,05-07-2013,21.3,4.06,0
L,05-08-2011,22.1,4.06,0
L,05-09-2008,17.7,4.06,0
L,06-05-1999,8,4.06,0
L,06-07-2012,19.8,4.06,0
L,06-08-2010,21.3,4.06,0
L,07-06-1999,14.5,4.06,0
L,07-06-2000,15.5,4.06,0
L,07-06-2004,12.5,4.06,0
L,07-06-2013,12.4,4.06,0
L,07-07-2006,18.8,4.06,0
L,07-08-2001,22,4.06,0
L,07-08-2009,18.9,4.06,0
L,08-05-1996,2,4.06,0
L,08-06-2007,13.1,4.06,0
L,08-06-2012,14.7,4.06,0
L,08-07-1999,17,4.06,0
L,08-07-2005,19.5,4.06,0
L,08-07-2011,21.5,4.06,0
L,08-08-1996,19.5,4.06,0
L,08-08-2003,21.9,4.06,0
L,08-08-2005,20.8,4.06,0
L,08-08-2008,21.3,4.06,0
L,08-08-2014,21.6,4.06,0
L,09-05-2000,12,4.06,0
L,09-07-1996,18.5,4.06,0
L,09-07-2010,19.7,4.06,0
L,10-05-2004,6.8000001907,4.06,0
L,10-06-2005,13.1,4.06,0
