LAKE,Date,Depth_m,Oxygen_ppm,Temperature_deg_C
D,15-08-1996,1,4.8,20
D,28-08-1996,1,5,21
D,14-05-1997,1,9.3,7
D,30-05-1997,1,9.4,11.5
D,13-06-1997,1,10,14
D,30-06-1997,1,7,16.5
D,15-07-1997,1,7.8,21.5
D,29-07-1997,1,4.4,21.5
D,12-08-1997,1,5,19.5
D,11-05-1998,1,4.85,7.2
D,25-05-1998,1,9.3,11.5
D,08-06-1998,1,8,12
D,22-06-1998,1,13.8,14
D,08-07-1998,1,11.6,19
D,24-07-1998,1,10.2,19
D,14-08-1998,1,5.4,22
D,09-09-1998,1,4.8,20
D,16-05-1999,1,14.8,8
D,01-06-1999,1,15,11
D,10-06-1999,1,13,14
D,06-07-1999,1,10.8,16.5
D,18-07-2001,1,10.2,19.5
D,02-08-2001,1,9.5,20
D,23-07-2004,1,8.5500001907,19.7000007629
D,16-05-2007,1,11.32,9.8
K,12-07-1996,1,6.6,20
K,23-08-1999,1,12.6,21
K,15-05-2000,1,13,9.5
K,06-06-2003,1,10.45,14.3
K,23-06-2003,1,8.46,19
D,18-07-1999,1,,
D,01-08-1999,1,10.4,20
D,18-08-1999,1,9.6,20
D,27-08-1999,1,10.2,19.5
D,12-05-2000,1,12.6,9
D,31-05-2000,1,11.2,11.5
D,18-06-2000,1,11.1,13
D,01-07-2000,1,9.9,18
D,16-07-2000,1,9.2,20
D,06-08-2000,1,8.6,21
D,17-08-2000,1,8.3,19
D,10-05-2001,1,,7.9
D,23-05-2001,1,13.6,11.1
D,08-06-2001,1,13.7,12.5
D,20-06-2001,1,11.3,15
D,09-07-2001,1,10.7,17.6
D,15-08-2001,1,8.8,19.2
D,30-08-2001,1,10.1,19
D,14-05-2002,1,7.4,7.2
D,04-06-2002,1,7.4,7.2
D,14-06-2002,1,14.2,11.5
D,26-06-2002,1,12,17.5
D,08-07-2002,1,10.3,18
D,07-08-2002,1,7.9,18.5
D,20-08-2002,1,10.25,17
D,03-09-2002,1,8.55,17.4
D,14-05-2003,1,11.76,7.6
D,28-05-2003,1,11.98,11.3
D,12-06-2003,1,10.58,13.2
D,25-06-2003,1,9.29,15.4
D,09-07-2003,1,8.36,17.1
D,18-07-2003,1,9.16,19.9
D,06-08-2003,1,8.59,19.7
D,29-08-2003,1,8.19,19
D,14-05-2004,1,11.6000003815,6.0999999046
D,27-05-2004,1,8.8900003433,8.3000001907
D,08-06-2004,1,11.1499996185,8.8000001907
D,22-06-2004,1,10.75,12.6999998093
D,06-07-2004,1,9.8100004196,15.3999996185
D,03-08-2004,1,8.8900003433,19.2000007629
D,18-08-2004,1,8.1300001144,17.8999996185
D,04-05-2005,1,13.39,4.9
D,18-05-2005,1,14.61,7.2
D,01-06-2005,1,10.2,9.8
D,15-06-2005,1,11.8,11.8
D,29-06-2005,1,9.14,14.9
D,13-07-2005,1,9.1,22.1
D,27-07-2005,1,8.84,19.1
D,10-08-2005,1,8.1,20.5
D,03-05-2006,1,16.17,4.4
D,19-05-2006,1,10.83,11.1
D,02-06-2006,1,10.47,13.8
D,16-06-2006,1,11.73,12.8
D,30-06-2006,1,9.8,19
D,14-07-2006,1,8.79,21.8
D,28-07-2006,1,7.45,23.2
D,14-08-2006,1,4.89,19.6
D,25-08-2006,1,8.08,19.5
D,07-05-2007,1,13.33,7.6
D,30-05-2007,1,10.4,10.3
D,13-06-2007,1,10.37,12.9
D,27-06-2007,1,8.31,15.8
D,11-07-2007,1,8.56,20.2
D,25-07-2007,1,7.99,22.5
D,08-08-2007,1,7.98,21.5
D,27-08-2007,1,8.95,17.2
E,14-07-2005,1,8.28,21.8
K,24-06-1994,1,9.45,20
K,12-07-1994,1,8.8,19.5
K,26-07-1994,1,10,20
K,17-08-1994,1,8.6,20
K,08-05-1995,1,7.8,5
K,17-05-1995,1,6.4,8.5
K,31-05-1995,1,5.8,15
