sampleID,depth,variableID,dataValue
McDonald,1,oxygenConcentration,7.95
McDonald,1,oxygenPercent,103.2
McDonald,1,conductivity,461
McDonald,1,specificConductivity,508
McDonald,1,salinity,0.25
Opuntia,1,temperature,22.6
Opuntia,1,oxygenPercent,66.4
Opuntia,1,oxygenConcentration,4.87
Opuntia,1,specificConductivity,5500
Opuntia,1,conductivity,5220
Opuntia,1,salinity,2.98
Opuntia,1,pH,9.03
Charron,1,temperature,18.92
Charron,1,conductivitySLS,7.547
Charron,1,TDS,5.549
Charron,1,salinity,4.77
Charron,1,oxygenPercent,107
Charron,1,oxygenConcentration,7.3
Charron,1,pH,10.61
Edouard,1,temperature,19.95
Edouard,1,conductivitySLS,0.622
Edouard,1,TDS,0.448
Edouard,1,salinity,0.34
Edouard,1,oxygenPercent,152
Edouard,1,oxygenConcentration,10.2
Edouard,1,pH,11.11
Deep,1,temperature,21.9
Deep,1,oxygenPercent,125.5
Deep,1,oxygenConcentration,9.42
Deep,1,specificConductivity,2946
Deep,1,conductivity,2771
Deep,1,salinity,1.53
Deep,1,pH,8.88
Chapleau,1,temperature,21.2
Chapleau,1,oxygenPercent,75.7
Chapleau,1,oxygenConcentration,5.67
Chapleau,1,specificConductivity,848
Chapleau,1,conductivity,787
Chapleau,1,salinity,0.42
Chapleau,1,pH,8.86
Round,1,temperature,21.9
Round,1,oxygenPercent,128.9
Round,1,oxygenConcentration,9.9
Round,1,specificConductivity,1642
Round,1,conductivity,1545
Round,1,salinity,0.83
Round,1,pH,8.91
Stony Beach,1,temperature,21.9
Stony Beach,1,oxygenPercent,111.2
Stony Beach,1,oxygenConcentration,8.44
Stony Beach,1,specificConductivity,717
Stony Beach,1,conductivity,675
Stony Beach,1,salinity,0.35
Stony Beach,1,pH,9.55
Crooked,1,temperature,24
Crooked,1,oxygenPercent,186.3
Crooked,1,oxygenConcentration,13.76
Crooked,1,specificConductivity,1576
Crooked,1,conductivity,1543
Crooked,1,salinity,0.8
Crooked,1,pH,9.12
Diefenbaker,1,temperature,21.2
Diefenbaker,1,oxygenPercent,59
Diefenbaker,1,oxygenConcentration,6.73
Diefenbaker,1,specificConductivity,445.8
Diefenbaker,1,conductivity,413.6
Diefenbaker,1,salinity,0.21
Diefenbaker,1,pH,8.5
Buffalo Pound,1,temperature,22.3
Buffalo Pound,1,oxygenPercent,96.5
Buffalo Pound,1,oxygenConcentration,7.27
Buffalo Pound,1,specificConductivity,639
Buffalo Pound,1,conductivity,606
Buffalo Pound,1,salinity,0.31
Buffalo Pound,1,pH,8.9
Katepwa,1,temperature,22.5
Katepwa,1,oxygenPercent,133.1
Katepwa,1,oxygenConcentration,10.01
Katepwa,1,specificConductivity,1465
Katepwa,1,conductivity,1389
Katepwa,1,salinity,0.74
Katepwa,1,pH,9.01
Junction,1,temperature,19.7
Junction,1,oxygenPercent,55.1
Junction,1,oxygenConcentration,4.21
Junction,1,specificConductivity,1326
Junction,1,conductivity,1184
Junction,1,salinity,0.66
Junction,1,pH,8.93
Clearwater,1,conductivity,1212
Clearwater,1,salinity,0.68
Clearwater,1,pH,9.18
X5,1,temperature,20.9
X5,1,oxygenPercent,44.4
X5,1,oxygenConcentration,3.18
X5,1,specificConductivity,21021
X5,1,conductivity,19371
X5,1,salinity,12.62
X5,1,pH,9.09
Last Mountain,1,temperature,21.3
Last Mountain,1,oxygenPercent,110.7
Last Mountain,1,oxygenConcentration,8.53
Last Mountain,1,specificConductivity,2046
Last Mountain,1,conductivity,1901
Last Mountain,1,salinity,1.05
Last Mountain,1,pH,8.88
Pasqua,1,temperature,22.3
Pasqua,1,oxygenPercent,99.7
Pasqua,1,oxygenConcentration,7.47
Pasqua,1,specificConductivity,1523
Pasqua,1,conductivity,1444
Pasqua,1,salinity,0.77
Pasqua,1,pH,9.04
Redberry,1,temperature,19.45
Redberry,1,conductivitySLS,16.47
Redberry,1,TDS,11.98
Redberry,1,salinity,10.95
Redberry,1,oxygenPercent,106
Redberry,1,oxygenConcentration,7.3
Redberry,1,pH,9.25
Rabbit,1,temperature,19.93
Rabbit,1,conductivitySLS,6.937
Rabbit,1,TDS,4.994
Rabbit,1,salinity,4.26
Rabbit,1,oxygenPercent,114
Rabbit,1,oxygenConcentration,7.8
Rabbit,1,pH,9.29
Success,1,temperature,22.22
Success,1,conductivitySLS,28.37
Success,1,TDS,19.48
Success,1,salinity,18.59
Success,1,oxygenPercent,133
Success,1,oxygenConcentration,8.4
Success,1,pH,9.57
Snakehole,1,temperature,23.46
Snakehole,1,conductivitySLS,70.72
Snakehole,1,TDS,47.36
Snakehole,1,salinity,50.22
Snakehole,1,oxygenPercent,119
Snakehole,1,oxygenConcentration,7.4
Snakehole,1,pH,8.96
Antelope,1,temperature,22.19
Antelope,1,conductivitySLS,12.85
Antelope,1,TDS,8.846
Antelope,1,salinity,7.87
Antelope,1,oxygenPercent,192
Antelope,1,oxygenConcentration,12.1
Antelope,1,pH,9.42
Lac Pelletier,1,temperature,21.68
Lac Pelletier,1,conductivitySLS,0.779
Lac Pelletier,1,TDS,0.541
Lac Pelletier,1,salinity,0.41
Lac Pelletier,1,oxygenPercent,180
Lac Pelletier,1,oxygenConcentration,11.4
Lac Pelletier,1,pH,9.65
Little Manitou,1,temperature,19.75
Little Manitou,1,conductivitySLS,58.87
Little Manitou,1,TDS,42.54
Little Manitou,1,salinity,44.44
Little Manitou,1,oxygenPercent,149
Little Manitou,1,oxygenConcentration,10.1
Little Manitou,1,pH,9.09
Middle,1,temperature,19.86
Middle,1,conductivitySLS,7.602
Middle,1,TDS,5.48
Middle,1,salinity,4.71
Middle,1,oxygenPercent,107
Middle,1,oxygenConcentration,7.2
Middle,1,pH,9.07
Arthur,1,temperature,20.27
Arthur,1,conductivitySLS,11.62
Arthur,1,TDS,8.089
Arthur,1,salinity,7.16
Arthur,1,oxygenPercent,114
Arthur,1,oxygenConcentration,7.6
Arthur,1,pH,9.06
Wakaw,1,temperature,21.12
Wakaw,1,conductivitySLS,2.672
Wakaw,1,TDS,1.876
Wakaw,1,salinity,1.5
Wakaw,1,oxygenPercent,125
Wakaw,1,oxygenConcentration,8.3
Wakaw,1,pH,8.84
Shannon,1,temperature,20.49
Shannon,1,conductivitySLS,2.631
Shannon,1,TDS,1.871
Shannon,1,salinity,1.5
