Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1886:3:16:0 0.375552 -0.710107 -0.0551146 0.758163
1886:4:16:0 0.103015 -0.538318 0.213421 0.265463
1886:5:16:0 -0.313441 -0.867385 0.0794156 0.0805436
1886:6:16:0 -0.402961 -1.06386 -0.039217 0.148579
1886:7:16:0 -0.560504 -0.695561 -0.0704897 -0.177478
1886:8:16:0 -0.682317 -0.929096 0.336166 -0.385852
1886:9:16:0 -0.694031 -0.553469 0.266111 -0.550352
1886:10:16:0 -0.60741 -0.603642 -0.0575847 -0.276796
1886:11:16:0 -0.750357 -0.528084 0.0685984 -0.520614
1886:12:16:0 -0.995071 -0.766439 0.0793728 -0.651538
1887:1:16:0 -0.50609 -0.69933 -0.115062 -0.0988933
1887:2:16:0 -0.339697 -0.721608 0.142863 -0.0503249
1887:3:16:0 -0.617118 -0.820153 0.251507 -0.332795
1887:4:16:0 -0.744162 -0.650314 0.176671 -0.50734
1887:5:16:0 -0.717543 -0.48228 0.187715 -0.570261
1887:6:16:0 -0.316355 -0.128617 -0.20058 -0.151757
1887:7:16:0 -0.251283 0.0248062 -0.294036 -0.116669
1887:8:16:0 -0.29485 -0.34163 0.0436242 -0.145847
1887:9:16:0 -0.278039 -0.0542974 -0.0477818 -0.226999
1887:10:16:0 -0.0798665 -0.0870374 -0.0412639 -0.0157159
1887:11:16:0 0.0772216 0.122853 -0.242635 0.137113
1887:12:16:0 -0.00970013 0.188379 0.00556175 -0.106671
1888:1:16:0 -0.0438585 0.153988 0.144407 -0.193056
1888:2:16:0 0.354058 0.225618 0.0899225 0.196288
1888:3:16:0 0.33807 0.28229 0.030032 0.181909
1888:4:16:0 0.299271 0.486577 -0.180794 0.146379
1888:5:16:0 0.224443 0.802088 -0.202446 -0.0753779
1888:6:16:0 0.283993 0.936129 -0.512063 0.0719604
1888:7:16:0 0.348704 0.533771 -0.428162 0.2959
1888:8:16:0 0.485899 0.463463 -0.38259 0.445462
1888:9:16:0 0.0274641 1.51832 -0.172857 -0.645268
1888:10:16:0 0.930347 1.62099 -0.503946 0.371825
1888:11:16:0 1.23405 1.71876 -0.396183 0.572758
1888:12:16:0 0.844254 1.34811 -0.0394564 0.189929
1889:1:16:0 0.924741 1.49873 -0.471316 0.411032
1889:2:16:0 0.732254 1.00907 -0.420881 0.43816
1889:3:16:0 0.474873 0.763198 -0.186474 0.186511
1889:4:16:0 0.261339 0.53966 -0.0687908 0.0259043
1889:5:16:0 0.264305 0.257282 -0.0178529 0.14459
1889:6:16:0 -0.0890936 -0.0509127 0.156533 -0.141904
1889:7:16:0 -0.244262 -0.321622 0.089789 -0.128345
1889:8:16:0 -0.34274 -0.548135 0.0105926 -0.0739686
1889:9:16:0 -0.397149 -0.594001 0.260337 -0.230317
1889:10:16:0 -0.789691 -0.830811 0.280383 -0.514477
1889:11:16:0 -0.720414 -0.543551 0.161955 -0.529616
1889:12:16:0 -0.847418 -0.263979 -0.0270939 -0.701881
1890:1:16:0 -1.50314 -0.525702 0.0293438 -1.25496
1890:2:16:0 -1.27999 -0.508325 0.0129047 -1.03228
1890:3:16:0 -0.604267 -0.423014 -0.171104 -0.307207
1890:4:16:0 -0.533537 -0.645721 -0.186478 -0.117438
1890:5:16:0 -0.530565 -0.712464 -0.177885 -0.085391
1890:6:16:0 -0.774033 -0.901043 -0.105528 -0.270748
1890:7:16:0 -0.716251 -0.741098 -0.10754 -0.291932
1890:8:16:0 -1.14913 -0.654305 0.0144306 -0.829188
1890:9:16:0 -1.07908 -0.622587 -0.0375671 -0.748999
1890:10:16:0 -0.946778 -0.668797 0.0137617 -0.61926
1890:11:16:0 -0.876613 -0.72624 0.0291124 -0.52805
1890:12:16:0 -0.557105 -0.484189 -0.0415262 -0.294248
1891:1:16:0 -0.332005 -0.252686 -0.170761 -0.120282
1891:2:16:0 -0.129142 -0.102452 -0.360519 0.102344
